id,title,company,time,tags,locations,link,logo,salary_from,salary_to,currency
41,principal software engineer,recast software,9mo,"software, design, saas",🇺🇸 united states,https://remoteok.com/remote-jobs/remote-principal-software-engineer-recast-software-932425,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteok.com/assets/img/jobs/fa2160d7da293c9865b233f3f93e94c61725919216.png?1725919216",60000,100000,$
42,product marketing manager,recast software,9mo,"manager, security, technical",🇺🇸 united states,https://remoteok.com/remote-jobs/remote-product-marketing-manager-recast-software-932424,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteok.com/assets/img/jobs/fff2ea3da44ead445a5c248e043021121725919209.png?1725919209",50000,100000,$
43,full stack engineer php symfony react mongodb,i6,9mo,"javascript, react, php",🇪🇺 europe,https://remoteok.com/remote-jobs/remote-full-stack-engineer-php-symfony-react-mongodb-i6-843213,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteOK.com/assets/img/jobs/7e6361c9833ab4ad9ded3060306c0a2b1720691100.png?1720691100",60000,100000,$
44,senior php laravel developer,ixdf - interaction design foundation,10mo,"backend, front end, php",🌏 worldwide,https://remoteok.com/remote-jobs/remote-senior-php-laravel-developer-ixdf-interaction-design-foundation-840144,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteOK.com/assets/img/jobs/8eb1f71c0e05f81f8d4c819b437a33711720509989.png?1720509989",10000,750000,$
45,senior backend engineer,center,11mo,"engineer, javascript, backend",🌏 worldwide,https://remoteok.com/remote-jobs/remote-senior-backend-engineer-center-778049,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteOK.com/assets/img/jobs/9997b42f8f8a86668bcd2d05a75affff1717010435.png?1717010435",140000,280000,$
46,senior developer grow my clinic,jane software,11mo,"developer, amazon, swift",🇨🇦 canada,https://remoteok.com/remote-jobs/remote-senior-developer-grow-my-clinic-jane-software-880008,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteok.com/assets/img/jobs/828d4c994d935a93d824af41d48e090a1722880818.png?1722880818",60000,105000,$
47,junior software test specialist,igloo software,11mo,"software, test, training",🇨🇦 canada,https://remoteok.com/remote-jobs/remote-junior-software-test-specialist-igloo-software-871617,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteok.com/assets/img/jobs/e0b27bbe73901e398964dbb296b0195f1722384006.png?1722384006",40000,80000,$
48,staff software engineer fullstack,coinbase developer platform,11mo,"software, design, web3",🇺🇸 united states,https://remoteok.com/remote-jobs/remote-staff-software-engineer-fullstack-coinbase-developer-platform-858086,Not mentioned,70000,100000,$
49,senior software engineer,elluminates software,11mo,"golang, software, senior",🌏 probably worldwide,https://remoteok.com/remote-jobs/remote-senior-software-engineer-elluminates-software-850899,Not mentioned,65000,115000,$
50,senior backend developer,3motionai,11mo,"senior, asp .net, golang","🇨🇦 canada, 🇺🇸 united states, 🌏 worldwide",https://remoteok.com/remote-jobs/remote-senior-backend-developer-3motionai-799328,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteOK.com/assets/img/jobs/3a5e223a84084d3904c14d5b38320be41718231373.png?1718231374",80000,120000,$
51,senior staff software engineer backend python,close,12mo,"engineer, senior, backend",🇺🇸 united states,https://remoteok.com/remote-jobs/remote-senior-staff-software-engineer-backend-python-close-662302,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteOK.com/assets/img/jobs/45ba7bb73f3bca21794f1bdf979432f41710199418.png?1710199418",140000,200000,$
52,intermediate frontend platform engineer,jane software,12mo,"front end, design, security",🇨🇦 canada,https://remoteok.com/remote-jobs/remote-intermediate-frontend-platform-engineer-jane-software-837354,"https://remoteok.com/cdn-cgi/image/format=auto,fit=contain,width=100,height=100,quality=50/https://remoteok.com/assets/img/jobs/bfdd8666a15a0c86243a1f7042cf66081720353634.png?1720353634",65000,110000,$
